cost,total_square,live_square,rooms_num,floor,rep_type,total_floors,metro,m_distance,adr,date_time,builder,desc,house_type,page_num,dist_cent,build_age,district,lat,lon
1 390 000,32 м²,,1,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Гугкаева, 14",31 июля 15:47 2020,,"Продаётся уютная 1-комн.квартира с кап. ремонтом в районе коней,в шаговой доступности рынок,школа,детская поликлиника.Крыша надежная,соседи дружные.Небольшой торг уместен.",блочный,11,,,р-н Северо-Западный,43.051746,44.649193
2 600 000,45 м²,,2,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Иристонская ул.",4 августа 09:59 2020,,район кбсп могу сдать на длительный срок,панельный,11,,,р-н Промышленный,43.06899,44.661721
2 700 000,70 м²,,3,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Куйбышева, 126",4 августа 10:25 2020,,"Продам трехкомнатную квартиру напротив Дома Офицеров Комнаты раздельные, санузел раздельный  Окна пластиковые, трубы пропиленовые, новые батареи В комнатах полы паркет Имеется гардеробная комната Лоджия Звоните! Шорена!",кирпичный,11,,,р-н Иристонский,43.030456,44.711038
3 300 000,60 м²,26 м²,2,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова, 6",26 июля 06:49 2020,,"Продам евродвушку с евроремонтом,в новом микрорайоне за Чибо.дом сдан и почти полностью заселён. Эта комфортная квартира может быть вашей спешите.",кирпичный,11,,,р-н Северо-Западный,43.054413000000004,44.631977
3 000 000,75 м²,,3,1 из 4,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Маркова, 30",1 августа 17:51 2020,,просторная чистая теплая квартира в двухподъездном доме. чистый косметический ремонт. высокий цоколь (нет ощущение первого этажа). закрытый двор. парковка. есть сарай и подвал.  развитая инфраструктура. все в шаговой доступности. кв. без обременения. все документы в порядке. подходит под ипотеку и все такое.,кирпичный,11,,,р-н Промышленный,43.039637163222,44.685818238098
1 400 000,42 м²,,2,2 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Пожарского, 4",31 июля 12:54 2020,,Все вопросы по телефону,кирпичный,11,,,р-н Промышленный,43.058113,44.665257000000004
1 450 000,35 м²,,2,5 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Гугкаева",1 августа 17:22 2020,,"2комнатная квартира на 5этаже кирпичного дома . Ремонт в комнатах и ванной. В кухне нет,но  балкон присоединен к кухне. Отличное местоположение: рынок за домом, детская  поликлиника и молочная кухня рядом.Хорошая транспортная развязка.Фитнес центры,салоны красоты,почта.Столица и набережная очень близко. Торг или меняю на большую  площать.",кирпичный,11,,,р-н Северо-Западный,43.051494,44.642559999999996
3 700 000,82 м²,69 м²,3,6 из 6,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Лермонтова, 12",1 августа 21:05 2020,,"Продаётся 3-х комнатная квартира в центре города, район Согу. Кирпичный дом, закрытый двор, лифт, сверху есть тех, этаж. Очень хорошая планировка, санузел раздельный, две лоджии, кондиционер. Квартира продаётся частично с мебелью.",кирпичный,11,,,р-н Иристонский,43.030632000000004,44.695312
2 600 000,57 м²,,2,4 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, Владикавказская ул., 55",30 июля 10:08 2020,,"Продается квартира после ремонта.Комнаты раздельные, вдоль зала и спальни большая застекленная лоджия.На лоджию можно как с кухни,так и с зала попасть.Сан узел совмещенный в хорошем ремонте.Всприходей место для гардеробной.За более подробной инфорацией звоните с 8-22:00.Альбина",кирпичный,11,,,р-н Северо-Западный,43.053121999999995,44.625069
2 300 000,42 м²,,2,3 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, Владикавказская ул., 59",1 августа 12:30 2020,,"Продаю квартиру в новостройке, район Викалина. Из однушки перепланирована в двушку. Перепланировка узаконена. Дому лет 10. Звоните с 9.00 до 21.00 Людмила",кирпичный,11,,,р-н Северо-Западный,43.053787,44.623093
1 600 000,84 м²,,2,10 из 10,,,,,"Республика Северная Осетия — Алания, Владикавказ, Кырджалийская ул., 10к2",3 августа 16:50 2020,,Продаётся квартира в НОВОСТРОЙКЕ!!! Дом сдан и заселен. Двор  благоустроен. Окна выходят в обе стороны дома. Высота - 4 м. Наименьшая точка - 1.90м. Полноценеый этаж. Звоните! Диана!,монолитный,11,,,р-н Затеречный,43.022362,44.650591
1 850 000,41 м²,,1,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Астана Кесаева",30 июля 01:14 2020,,"🏡 Срочно!!!🏡 Выгодное предложение для вложения средств! 🏡 1-комнатная квартира 41 м2 на  4-м этаже 5-этажного кирпичного дома  по ул Астана Кесаева 🏡 Отличная Планировка - большая комната, просторная кухня, лоджия 10 м2, открытый балкон!🏡 Ремонт !🏡Мебель и техника  в подарок!🏡 благоустроенный двор с детской площадкой!🏡 Чистый отремонтированный подъезд, адекватные соседи!🏡 Развитая инфраструктура района - рядом Сбербанк, 7 Поликлиника , гипермаркет Магнит , РЦ Карусель, кинотеатр Терек и т д!🏡 Удобная Транспортная развязка!🏡 Отлично подходит как для проживания, так и для сдачи в  Аренду! 🏡 Все виды оплаты!",кирпичный,11,,,р-н Северо-Западный,43.046432,44.631042
1 900 000,47 м²,34 м²,2,4 из 5,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Зои Космодемьянской, 8",2 августа 20:59 2020,,"везде пластиковые окна, новые сантехника, ванная в кафедры, колонна, везде ламинат, оставляем стенку, на кухне жалюзи, на лоджии шкаф купе остается,отзывчивые соседи в шаговой доступности дет. сад, школы, поликлиника, магазины,площади танк и лошади, аптеки, новая набережная. имеется сухой подвал.",панельный,11,,,р-н Северо-Западный,43.04739,44.655594
3 100 000,70 м²,,3,1 из 9,,,,,"Республика Северная Осетия — Алания, Владикавказ, ул. Генерала Дзусова, 30к2",31 июля 17:04 2020,,"Хорошая квартира с ремонт, но не евро. Раздельный санузел, три лоджии. Окна во двор и улицу (Стейтан). Проходит под коммерцию. Любая ипотека. Торг.",кирпичный,11,,,р-н Северо-Западный,43.05131,44.622752
